Date,Open,High,Low,Close,Adj Close
1/3/2000,104.88,112.5,101.69,111.94,3.8
1/4/2000,108.25,110.62,101.19,102.5,3.48
1/5/2000,103.75,110.56,103,104,3.53
1/6/2000,106.13,107,95,95,3.23
1/7/2000,96.5,101,95.5,99.5,3.38
1/10/2000,102,102.25,94.75,97.75,3.32
1/11/2000,95.94,99.38,90.5,92.75,3.15
1/12/2000,95,95.5,86.5,87.19,2.96
1/13/2000,94.48,98.75,92.5,96.75,3.29
1/14/2000,100,102.25,99.38,100.44,3.41
1/18/2000,101,106,100.44,103.94,3.53
1/19/2000,105.62,108.75,103.37,106.56,3.62
1/20/2000,115.5,121.5,113.5,113.5,3.86
1/21/2000,114.25,114.25,110.19,111.31,3.78
1/24/2000,108.44,112.75,105.12,106.25,3.61
1/25/2000,105,113.13,102.38,112.25,3.81
1/26/2000,110,114.19,109.75,110.19,3.74
1/27/2000,108.81,113,107,110,3.74
1/28/2000,108.19,110.87,100.62,101.62,3.45
1/31/2000,101,103.87,94.5,103.75,3.52
2/1/2000,104,105,100,100.25,3.41
2/2/2000,100.75,102.12,97,98.81,3.36
2/3/2000,100.31,104.25,100.25,103.31,3.51
2/4/2000,103.94,110,103.62,108,3.67
2/7/2000,108,114.25,105.94,114.06,3.87
2/8/2000,114,116.12,111.25,114.88,3.9
2/9/2000,114.12,117.13,112.44,112.62,3.83
2/10/2000,112.88,113.87,110,113.5,3.86
2/11/2000,113.63,114.12,108.25,108.75,3.69
2/14/2000,109.31,115.87,108.62,115.81,3.93
2/15/2000,115.25,119.94,115.19,119,4.04
2/16/2000,117.75,118.12,112.12,114.12,3.88
2/17/2000,115.19,115.5,113.13,114.88,3.9
2/18/2000,114.62,115.38,110.87,111.25,3.78
2/22/2000,110.13,116.94,106.69,113.81,3.87
2/23/2000,113.23,119,111,116.25,3.95
2/24/2000,117.31,119.12,111.75,115.2,3.91
2/25/2000,114.81,117,110.13,110.37,3.75
2/28/2000,110.13,115,108.38,113.25,3.85
2/29/2000,113.56,117.25,112.56,114.62,3.89
3/1/2000,118.56,132.06,118.5,130.31,4.43
3/2/2000,127,127.94,120.69,122,4.14
3/3/2000,124.87,128.23,120,128,4.35
3/6/2000,126,129.13,125,125.69,4.27
3/7/2000,126.44,127.44,121.12,122.87,4.17
3/8/2000,122.87,123.94,118.56,122,4.14
3/9/2000,120.87,125,118.25,122.25,4.15
3/10/2000,121.69,127.94,121,125.75,4.27
3/13/2000,122.13,126.5,119.5,121.31,4.12
3/14/2000,121.22,124.25,114,114.25,3.88
3/15/2000,115.62,120.25,114.12,116.25,3.95
3/16/2000,117.31,122,114.5,121.56,4.13
3/17/2000,120.13,125,119.62,125,4.25
3/20/2000,123.5,126.25,122.38,123,4.18
3/21/2000,122.56,136.75,121.62,134.94,4.58
3/22/2000,132.78,144.38,131.56,144.19,4.9
3/23/2000,142,150.38,140,141.31,4.8
3/24/2000,142.44,143.94,135.5,138.69,4.71
3/27/2000,137.63,144.75,136.87,139.56,4.74
3/28/2000,137.25,142,137.12,139.12,4.73
3/29/2000,139.38,139.44,133.83,135.94,4.62
3/30/2000,133.56,137.69,125.44,125.75,4.27
3/31/2000,127.44,137.25,126,135.81,4.61
4/3/2000,135.5,139.5,129.44,133.31,4.53
4/4/2000,132.63,133,116.75,127.31,4.32
4/5/2000,126.47,132.88,124,130.38,4.43
